entity_id,img_url
nm0617588,"https://m.media-amazon.com/images/M/MV5BMTkyNzM5MzEwMF5BMl5BanBnXkFtZTcwOTQ3NzMyNQ@@._V1_UY317_CR7,0,214,317_AL_.jpg"
nm0692105,"https://m.media-amazon.com/images/M/MV5BMDg1YmMyMzAtNjUyYy00NDVkLWE0MTQtZWFkM2I0Mzg0N2QyXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UY317_CR14,0,214,317_AL_.jpg"
nm0000428,"https://m.media-amazon.com/images/M/MV5BMTgzOTY1NzUzN15BMl5BanBnXkFtZTYwNDAxNjI2._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0665737,NONE
nm0000122,"https://m.media-amazon.com/images/M/MV5BNDcwMDc0ODAzOF5BMl5BanBnXkFtZTgwNTY2OTI1MDE@._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0624714,"https://m.media-amazon.com/images/M/MV5BOTY5MjJlZDctOTkzNS00MThlLWI1NjUtN2NhOWJmYzNlODQzXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR7,0,214,317_AL_.jpg"
nm0927468,"https://m.media-amazon.com/images/M/MV5BZWI4ZGJjYTMtZTVhYS00ZDgxLTgyNGYtZmIyMDcxMWZlYWZlXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY317_CR170,0,214,317_AL_.jpg"
nm0731910,NONE
nm0091380,NONE
nm0917467,"https://m.media-amazon.com/images/M/MV5BMTU2Mjc4NjY4N15BMl5BanBnXkFtZTYwMjU5MTI2._V1_UY317_CR88,0,214,317_AL_.jpg"
nm0869665,"https://m.media-amazon.com/images/M/MV5BM2U4NDA4OWYtYzY4Ni00ZjMxLWEyNjItYjI1YWI2YjIyNzZiXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
