,id,primary_title,release_year
0,tt0004972,The Birth of a Nation,1915
1,tt0006333,"20,000 Leagues Under the Sea",1916
2,tt0006864,Intolerance: Love's Struggle Throughout the Ages,1916
3,tt0009968,Broken Blossoms,1919
4,tt0010040,Daddy-Long-Legs,1919
5,tt0010323,The Cabinet of Dr. Caligari,1920
6,tt0011130,Dr. Jekyll and Mr. Hyde,1920
7,tt0011237,The Golem,1920
8,tt0011387,The Last of the Mohicans,1920
9,tt0011841,Way Down East,1920
10,tt0012349,The Kid,1921
11,tt0012364,The Phantom Carriage,1921
12,tt0012532,Orphans of the Storm,1921
13,tt0013086,Dr. Mabuse the Gambler,1922
14,tt0013140,Foolish Wives,1922
15,tt0013257,Häxan,1922
16,tt0013427,Nanook of the North,1922
17,tt0013442,Nosferatu,1922
18,tt0014142,The Hunchback of Notre Dame,1923
19,tt0014341,Our Hospitality,1923
20,tt0014429,Safety Last!,1923
21,tt0014538,Three Ages,1923
22,tt0014624,A Woman of Paris: A Drama of Fate,1923
23,tt0015064,The Last Laugh,1924
24,tt0015163,The Navigator,1924
25,tt0015175,Die Nibelungen: Siegfried,1924
26,tt0015324,Sherlock Jr.,1924
27,tt0015361,Strike,1925
28,tt0015400,The Thief of Bagdad,1924
29,tt0015532,The Adventures of Prince Achmed,1926
30,tt0015648,Battleship Potemkin,1925
31,tt0015693,Cobra,1925
32,tt0015841,The Freshman,1925
33,tt0015863,Go West,1925
34,tt0015864,The Gold Rush,1925
35,tt0015881,Greed,1924
36,tt0016039,The Lost World,1925
37,tt0016220,The Phantom of the Opera,1925
38,tt0016332,Seven Chances,1925
39,tt0016544,The Wizard of Oz,1925
40,tt0016630,Battling Butler,1926
41,tt0016641,Ben-Hur: A Tale of the Christ,1925
42,tt0016654,The Black Pirate,1926
43,tt0016847,Faust,1926
44,tt0017075,The Lodger: A Story of the London Fog,1927
45,tt0017136,Metropolis,1927
46,tt0017350,The Scarlet Letter,1926
47,tt0017416,The Son of the Sheik,1926
48,tt0017668,Berlin: Symphony of a Great City,1927
49,tt0017765,College,1927
50,tt0017925,The General,1926
51,tt0018033,It,1927
52,tt0018037,The Jazz Singer,1927
53,tt0018051,The Kid Brother,1927
54,tt0018217,October (Ten Days that Shook the World),1927
55,tt0018328,The Ring,1927
56,tt0018455,Sunrise,1927
57,tt0018526,Underworld,1927
58,tt0018528,The Unknown,1927
59,tt0018578,Wings,1927
60,tt0018737,Pandora's Box,1929
61,tt0018742,The Cameraman,1928
62,tt0018773,The Circus,1928
63,tt0018806,The Crowd,1928
64,tt0018839,The Docks of New York,1928
65,tt0019130,The Man Who Laughs,1928
66,tt0019254,The Passion of Joan of Arc,1928
67,tt0019421,"Steamboat Bill, Jr.",1928
68,tt0019585,The Wind,1928
69,tt0019702,Blackmail,1929
70,tt0019729,The Broadway Melody,1929
71,tt0019760,Man with a Movie Camera,1929
72,tt0019777,The Cocoanuts,1929
73,tt0020629,All Quiet on the Western Front,1930
74,tt0020640,Animal Crackers,1930
75,tt0020641,Anna Christie,1930
76,tt0020697,The Blue Angel,1930
77,tt0020960,Hell's Angels,1930
78,tt0021015,Juno and the Paycock,1930
79,tt0021079,Little Caesar,1931
80,tt0021156,Morocco,1930
81,tt0021165,Murder!,1930
82,tt0021577,L'Age d'Or,1930
83,tt0021746,Cimarron,1931
84,tt0021749,City Lights,1931
85,tt0021814,Dracula,1931
86,tt0021884,Frankenstein,1931
87,tt0021890,The Front Page,1931
88,tt0022100,M,1931
89,tt0022111,The Maltese Falcon,1931
90,tt0022158,Monkey Business,1931
91,tt0022268,Platinum Blonde,1931
92,tt0022286,The Public Enemy,1931
93,tt0022395,The Skin Game,1931
94,tt0022458,Tabu: A Story of the South Seas,1931
95,tt0022599,À Nous la Liberté,1931
96,tt0022718,Boudu Saved from Drowning,1932
97,tt0022835,Dr. Jekyll and Mr. Hyde,1931
98,tt0022879,A Farewell to Arms,1932
99,tt0022913,Freaks,1932
100,tt0022958,Grand Hotel,1932
101,tt0023027,Horse Feathers,1932
102,tt0023042,I Am a Fugitive from a Chain Gang,1932
103,tt0023158,Love Me Tonight,1932
104,tt0023194,The Mask of Fu Manchu,1932
105,tt0023238,The Most Dangerous Game,1932
106,tt0023245,The Mummy,1932
107,tt0023285,Number 17,1932
108,tt0023293,The Old Dark House,1932
109,tt0023369,Rain,1932
110,tt0023382,Red Dust,1932
111,tt0023395,East of Shanghai,1931
112,tt0023427,Scarface,1932
113,tt0023458,Shanghai Express,1932
114,tt0023551,Tarzan the Ape Man,1932
115,tt0023563,The Testament of Dr. Mabuse,1933
116,tt0023622,Trouble in Paradise,1932
117,tt0023634,"I Was Born, But...",1932
118,tt0023649,Vampyr,1932
119,tt0023694,White Zombie,1932
120,tt0023753,Alice in Wonderland,1933
121,tt0023775,Baby Face,1933
122,tt0023876,Cavalcade,1933
123,tt0023940,Design for Living,1933
124,tt0023948,Dinner at Eight,1933
125,tt0023969,Duck Soup,1933
126,tt0024025,Flying Down to Rio,1933
127,tt0024028,Footlight Parade,1933
128,tt0024034,42nd Street,1933
129,tt0024069,Gold Diggers of 1933,1933
130,tt0024166,I'm No Angel,1933
131,tt0024184,The Invisible Man,1933
132,tt0024188,Island of Lost Souls,1932
133,tt0024216,King Kong,1933
134,tt0024264,Little Women,1933
135,tt0024368,Mystery of the Wax Museum,1933
136,tt0024473,The Private Life of Henry VIII.,1933
137,tt0024481,Queen Christina,1933
138,tt0024548,She Done Him Wrong,1933
139,tt0024593,Son of Kong,1933
140,tt0024601,Sons of the Desert,1933
141,tt0024645,Tarzan the Fearless,1933
142,tt0024844,L'Atalante,1934
143,tt0024852,March of the Wooden Soldiers,1934
144,tt0024894,The Black Cat,1934
145,tt0024914,Bright Eyes,1934
146,tt0025004,The Count of Monte Cristo,1934
147,tt0025164,The Gay Divorcee,1934
148,tt0025316,It Happened One Night,1934
149,tt0025318,It's a Gift,1934
150,tt0025410,Little Miss Marker,1934
151,tt0025452,The Man Who Knew Too Much,1934
152,tt0025456,Man of Aran,1934
153,tt0025586,Of Human Bondage,1934
154,tt0025746,The Scarlet Empress,1934
155,tt0025748,The Scarlet Pimpernel,1934
156,tt0025862,Tarzan and His Mate,1934
157,tt0025878,The Thin Man,1934
158,tt0025913,Triumph of the Will,1935
159,tt0025919,Twentieth Century,1934
160,tt0026029,The 39 Steps,1935
161,tt0026056,Alice Adams,1935
162,tt0026071,Anna Karenina,1935
163,tt0026138,Bride of Frankenstein,1935
164,tt0026174,Captain Blood,1935
