Unnamed: 0,id,primary_title,release_year,video_url
0,tt0004972,The Birth of a Nation,1915,/watch?v=a9UPOkIpR0A
1,tt0006333,"20,000 Leagues Under the Sea",1916,/watch?v=YxxdvXLzwxc
2,tt0006864,Intolerance: Love's Struggle Throughout the Ages,1916,/watch?v=QzNL5JRTI6I
3,tt0009968,Broken Blossoms,1919,/watch?v=8JzhhUCo1xY
4,tt0010040,Daddy-Long-Legs,1919,/watch?v=Hta6qKrcaYw
5,tt0010323,The Cabinet of Dr. Caligari,1920,/watch?v=IAtpxqajFak
6,tt0011130,Dr. Jekyll and Mr. Hyde,1920,/watch?v=yEU-MMk-tok
7,tt0011237,The Golem,1920,/watch?v=ZZmYTWY03Kg
8,tt0011387,The Last of the Mohicans,1920,/watch?v=P-LYCxEB0JM
9,tt0011841,Way Down East,1920,/watch?v=MgYA4jUr4o0
10,tt0012349,The Kid,1921,/watch?v=UBX2Yy2dqg4
11,tt0012364,The Phantom Carriage,1921,/watch?v=HoqCsMUoN1c
12,tt0012532,Orphans of the Storm,1921,/watch?v=qsr1tWlF8SQ
13,tt0013086,Dr. Mabuse the Gambler,1922,/watch?v=9bLMRPpSToI
14,tt0013140,Foolish Wives,1922,/watch?v=gefsodPvG04
15,tt0013257,Häxan,1922,/watch?v=qYTv7mIBfdY
16,tt0013427,Nanook of the North,1922,/watch?v=bkilXJiCfng
17,tt0013442,Nosferatu,1922,/watch?v=ZxlJxDr26mM
18,tt0014142,The Hunchback of Notre Dame,1923,/watch?v=y_PkMu0Ei_A
19,tt0014341,Our Hospitality,1923,/watch?v=ciIanh31mY4
20,tt0014429,Safety Last!,1923,/watch?v=rhNtSU8ubf0
21,tt0014538,Three Ages,1923,/watch?v=Jx5IWU056tA
22,tt0014624,A Woman of Paris: A Drama of Fate,1923,/watch?v=IvHHQb-_TU4
23,tt0015064,The Last Laugh,1924,/watch?v=d7rPS1TQ67I
24,tt0015163,The Navigator,1924,/watch?v=u2CWEeSaPS8
25,tt0015175,Die Nibelungen: Siegfried,1924,/watch?v=ljT4kjBkhM8
26,tt0015324,Sherlock Jr.,1924,/watch?v=JSEK1NUPrGA
27,tt0015361,Strike,1925,/watch?v=3UQMg3saU4Q
28,tt0015400,The Thief of Bagdad,1924,/watch?v=JoShIORLbuU
29,tt0015532,The Adventures of Prince Achmed,1926,/watch?v=G_9L7r8NIBc
30,tt0015648,Battleship Potemkin,1925,/watch?v=kS5kzTbNKjs
31,tt0015693,Cobra,1925,/watch?v=eaGQ60qdDg8
32,tt0015841,The Freshman,1925,/watch?v=1ntrhlDr8MU
33,tt0015863,Go West,1925,/watch?v=Pd2Uw2ovg0o
34,tt0015864,The Gold Rush,1925,/watch?v=8LB-fw4efXo
35,tt0015881,Greed,1924,/watch?v=MGjSpPgJAoA
36,tt0016039,The Lost World,1925,/watch?v=ubdH7FQpZ9A
37,tt0016220,The Phantom of the Opera,1925,/watch?v=HYvbaILyc2s
38,tt0016332,Seven Chances,1925,/watch?v=vSGzIA9yUGQ
39,tt0016544,The Wizard of Oz,1925,/watch?v=p98__cJtPTY
40,tt0016630,Battling Butler,1926,/watch?v=bS8boskagwk
41,tt0016641,Ben-Hur: A Tale of the Christ,1925,/watch?v=SmXkN8VNTnc
42,tt0016654,The Black Pirate,1926,/watch?v=IIvjH93MKRU
43,tt0016847,Faust,1926,/watch?v=Luuw4yTTtRU
44,tt0017075,The Lodger: A Story of the London Fog,1927,/watch?v=BJnoaTzJdLs
45,tt0017136,Metropolis,1927,/watch?v=gdtZv3XROnc
46,tt0017350,The Scarlet Letter,1926,/watch?v=GwktKVIPiOg
47,tt0017416,The Son of the Sheik,1926,/watch?v=kmLIOYBBKTI
48,tt0017668,Berlin: Symphony of a Great City,1927,/watch?v=Ywk6Deq9FOQ
49,tt0017765,College,1927,/watch?v=bbF9ybSuoHM
50,tt0017925,The General,1926,/watch?v=7EcZPcFfjqY
51,tt0018033,It,1927,/watch?v=S4MOQSRC_bM
52,tt0018037,The Jazz Singer,1927,/watch?v=mW6GfJ5Tvms
53,tt0018051,The Kid Brother,1927,/watch?v=vukF6jLaUiU
54,tt0018217,October (Ten Days that Shook the World),1927,/watch?v=YVuf3T3k-W0
55,tt0018328,The Ring,1927,/watch?v=pzpe33WfWa4
56,tt0018455,Sunrise,1927,/watch?v=XHDe_BHH2qo
57,tt0018526,Underworld,1927,/watch?v=KKnHX1yw3pM
58,tt0018528,The Unknown,1927,/watch?v=0ZPxz_gwOvk
59,tt0018578,Wings,1927,/watch?v=GFRas2-x_OQ
60,tt0018737,Pandora's Box,1929,/watch?v=P4EzcJPqAGg
61,tt0018742,The Cameraman,1928,/watch?v=2H8dS-z8NHM
62,tt0018773,The Circus,1928,/watch?v=V0mfJ0RXvV0
63,tt0018806,The Crowd,1928,/watch?v=Er7kOfPGbmQ
64,tt0018839,The Docks of New York,1928,/watch?v=czbg-FrmF4U
65,tt0019130,The Man Who Laughs,1928,/watch?v=2KhzpkSDwHA
66,tt0019254,The Passion of Joan of Arc,1928,/watch?v=IQAchMdy__8
67,tt0019421,"Steamboat Bill, Jr.",1928,/watch?v=Mb3a3pM27ts
68,tt0019585,The Wind,1928,/watch?v=ViZDewxaJ8s
69,tt0019702,Blackmail,1929,/watch?v=hsVCz8ezhtg
70,tt0019729,The Broadway Melody,1929,/watch?v=OxWVH28E1KY
71,tt0019760,Man with a Movie Camera,1929,/watch?v=BtTlgxtoqhg
72,tt0019777,The Cocoanuts,1929,/watch?v=-Dgj8_iYr90
73,tt0020629,All Quiet on the Western Front,1930,/watch?v=grapXipP3fM
74,tt0020640,Animal Crackers,1930,/watch?v=0ykYqkECz9E
