,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
0,nm0617588,Georges Méliès,1861,1938,"director,actor,producer","tt0000091,tt0000499,tt0002113,tt0223267"
1,nm0692105,Edwin S. Porter,1870,1941,"director,cinematographer,writer","tt0003804,tt0004654,tt0000757,tt0006279"
2,nm0000428,D.W. Griffith,1875,1948,"director,writer,producer","tt0004972,tt0006864,tt0010484,tt0012122"
3,nm0665737,Stuart Paton,1883,1944,"director,writer,actor","tt0028725,tt0012293,tt0008028,tt0006333"
4,nm0000122,Charles Chaplin,1889,1977,"writer,soundtrack,actor","tt0039631,tt0032553,tt0027977,tt0044837"
5,nm0624714,Marshall Neilan,1891,1958,"actor,director,writer","tt0011234,tt0016829,tt0010040,tt0011117"
6,nm0927468,Robert Wiene,1873,1938,"writer,director,producer","tt0199971,tt0481869,tt0481876,tt0010323"
7,nm0731910,John S. Robertson,1878,1964,"director,actor,producer","tt0014039,tt0020741,tt0020393,tt0009114"
8,nm0917467,Paul Wegener,1874,1948,"actor,director,writer","tt0004026,tt0176776,tt0008431,tt0003419"
9,nm0091380,Carl Boese,1887,1958,"director,writer,producer","tt0449251,tt0362263,tt0023387,tt0448016"
10,nm0869665,Maurice Tourneur,1876,1961,"director,writer,producer","tt0006755,tt0009969,tt0006519,tt0022645"
11,nm0113284,Clarence Brown,1890,1987,"director,producer,editor","tt0021885,tt0026071,tt0020641,tt0041513"
12,nm0166836,Edward F. Cline,1891,1961,"director,actor,writer","tt0012255,tt0011984,tt0011508,tt0011071"
13,nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015324,tt0016332,tt0017925,tt0019421"
14,nm0820461,Malcolm St. Clair,1897,1952,"director,actor,writer","tt0028651,tt0018680,tt0016935,tt0020404"
15,nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015324,tt0016332,tt0017925,tt0019421"
16,nm0803705,Victor Sjöström,1879,1960,"director,actor,writer","tt0008663,tt0012364,tt0014972,tt0050986"
17,nm0000485,Fritz Lang,1890,1976,"director,writer,producer","tt0027652,tt0019415,tt0022100,tt0057345"
18,nm0002233,Erich von Stroheim,1885,1957,"actor,writer,director","tt0019558,tt0043014,tt0009937,tt0028950"
19,nm0159725,Benjamin Christensen,1879,1959,"director,writer,actor","tt0016783,tt0005529,tt0013257,tt0020004"
20,nm0280904,Robert J. Flaherty,1884,1951,"director,writer,producer","tt0040550,tt0025456,tt0028827,tt0017162"
21,nm0003638,F.W. Murnau,1888,1931,"director,writer,producer","tt0013442,tt0022458,tt0015064,tt0018455"
22,nm0941637,Wallace Worsley,1878,1944,"director,actor,miscellaneous","tt0012949,tt0011904,tt0011565,tt0014142"
23,nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015324,tt0016332,tt0017925,tt0019421"
24,nm0090007,John G. Blystone,1892,1938,"director,miscellaneous,producer","tt0022625,tt0021388,tt0020689,tt0016052"
25,nm0628345,Fred C. Newmeyer,1888,1967,"actor,director","tt0016333,tt0014429,tt0022446,tt0136560"
26,nm0853130,Sam Taylor,1895,1958,"writer,director,producer","tt0014611,tt0022026,tt0014945,tt0014429"
27,nm0187981,Donald Crisp,1882,1974,"actor,director,writer","tt0009968,tt0032145,tt0033729,tt0030287"
28,nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015324,tt0016332,tt0017925,tt0019421"
29,nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015324,tt0016332,tt0017925,tt0019421"
30,nm0001178,Sergei M. Eisenstein,1898,1948,"director,writer,editor","tt0015648,tt0018217,tt0029850,tt0037824"
31,nm0909825,Raoul Walsh,1887,1980,"director,actor,writer","tt0042041,tt0031867,tt0019344,tt0004972"
32,nm0718201,Lotte Reiniger,1899,1981,"director,animation_department,writer","tt0146273,tt4048754,tt0015532,tt0146114"
33,nm0002569,Carl Koch,1892,1963,"writer,miscellaneous,cinematographer","tt0033177,tt0127284,tt0031885,tt0028950"
34,nm0376221,Joseph Henabery,1888,1976,"director,actor,assistant_director","tt0004972,tt0007931,tt0021098,tt0006864"
35,nm0398464,Harry O. Hoyt,1885,1961,"writer,director,script_department","tt0016516,tt0010142,tt0017676,tt0010777"
36,nm0432216,Rupert Julian,1879,1943,"actor,director,writer","tt0007263,tt0009252,tt0329763,tt0010031"
37,nm0151606,Lon Chaney,1883,1930,"actor,director,writer","tt0016220,tt0014972,tt0016123,tt0011565"
38,nm0480677,Ernst Laemmle,1900,1950,"director,miscellaneous,writer","tt0018960,tt0021543,tt0017710,tt0017294"
39,nm0781292,Edward Sedgwick,1892,1953,"director,actor,writer","tt0159716,tt0016881,tt0016015,tt0018742"
40,nm0783865,Larry Semon,1889,1928,"director,writer,actor","tt0016544,tt0248433,tt0014946,tt0017433"
41,nm0629243,Fred Niblo,1874,1948,"director,actor,producer","tt1655442,tt0012752,tt0015268,tt0017850"
