,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
0,nm0617588,Georges Méliès,1861,1938,"director,actor,producer","tt0000091,tt0000499,tt0002113,tt0223267"
1,nm0692105,Edwin S. Porter,1870,1941,"director,cinematographer,writer","tt0003804,tt0004654,tt0000757,tt0006279"
2,nm0000428,D.W. Griffith,1875,1948,"director,writer,producer","tt0004972,tt0006864,tt0010484,tt0012122"
3,nm0665737,Stuart Paton,1883,1944,"director,writer,actor","tt0028725,tt0012293,tt0008028,tt0006333"
4,nm0000122,Charles Chaplin,1889,1977,"writer,soundtrack,actor","tt0039631,tt0032553,tt0027977,tt0044837"
5,nm0624714,Marshall Neilan,1891,1958,"actor,director,writer","tt0011234,tt0016829,tt0010040,tt0011117"
6,nm0927468,Robert Wiene,1873,1938,"writer,director,producer","tt0199971,tt0481869,tt0481876,tt0010323"
7,nm0731910,John S. Robertson,1878,1964,"director,actor,producer","tt0014039,tt0020741,tt0020393,tt0009114"
8,nm0917467,Paul Wegener,1874,1948,"actor,director,writer","tt0004026,tt0176776,tt0008431,tt0003419"
9,nm0091380,Carl Boese,1887,1958,"director,writer,producer","tt0449251,tt0362263,tt0023387,tt0448016"
10,nm0869665,Maurice Tourneur,1876,1961,"director,writer,producer","tt0006755,tt0009969,tt0006519,tt0022645"



